team,map,win_rate
100 Thieves,Ascent,0.0
100 Thieves,Bind,0.0
100 Thieves,Fracture,0.3333333333333333
100 Thieves,Haven,1.0
100 Thieves,Icebox,0.6
100 Thieves,Lotus,0.2
100 Thieves,Pearl,0.75
100 Thieves,Split,0.5
Attacking Soul Esports,Ascent,0.0
Attacking Soul Esports,Bind,0.0
Attacking Soul Esports,Fracture,0.3333333333333333
Attacking Soul Esports,Haven,1.0
Attacking Soul Esports,Lotus,0.5
Attacking Soul Esports,Pearl,0.0
Attacking Soul Esports,Split,0.6666666666666666
BBL Esports,Ascent,0.8333333333333334
BBL Esports,Bind,0.3333333333333333
BBL Esports,Fracture,0.0
BBL Esports,Haven,0.5
BBL Esports,Icebox,0.3333333333333333
BBL Esports,Lotus,0.0
BBL Esports,Pearl,0.0
BBL Esports,Split,0.0
Bilibili Gaming,Ascent,1.0
Bilibili Gaming,Bind,0.6
Bilibili Gaming,Fracture,0.0
Bilibili Gaming,Haven,0.3333333333333333
Bilibili Gaming,Lotus,0.5
Bilibili Gaming,Pearl,0.0
Bilibili Gaming,Split,0.6666666666666666
Cloud9,Ascent,0.7142857142857143
Cloud9,Bind,0.0
Cloud9,Fracture,0.6
Cloud9,Haven,0.2857142857142857
Cloud9,Icebox,0.0
Cloud9,Lotus,0.7777777777777778
Cloud9,Pearl,0.7777777777777778
Cloud9,Split,0.8
DRX,Ascent,0.6153846153846154
DRX,Bind,0.4444444444444444
DRX,Fracture,0.5454545454545454
DRX,Haven,0.5833333333333334
DRX,Icebox,0.6666666666666666
DRX,Lotus,0.4
DRX,Pearl,0.6666666666666666
DRX,Split,0.7
DetonatioN FocusMe,Ascent,0.0
DetonatioN FocusMe,Bind,0.0
DetonatioN FocusMe,Fracture,0.25
DetonatioN FocusMe,Haven,0.0
DetonatioN FocusMe,Icebox,0.0
DetonatioN FocusMe,Lotus,0.0
DetonatioN FocusMe,Pearl,0.0
DetonatioN FocusMe,Split,1.0
Douyu Gaming,Ascent,0.5
Douyu Gaming,Bind,0.0
Douyu Gaming,Haven,0.5
Douyu Gaming,Lotus,0.5
Douyu Gaming,Pearl,0.0
Douyu Gaming,Split,0.5
Dragon Ranger Gaming,Ascent,0.3333333333333333
Dragon Ranger Gaming,Bind,0.0
Dragon Ranger Gaming,Haven,1.0
Dragon Ranger Gaming,Lotus,0.5
Dragon Ranger Gaming,Pearl,1.0
Dragon Ranger Gaming,Split,0.3333333333333333
EDward Gaming,Ascent,0.3333333333333333
EDward Gaming,Bind,0.875
EDward Gaming,Fracture,0.625
EDward Gaming,Haven,0.7142857142857143
EDward Gaming,Icebox,0.0
EDward Gaming,Lotus,0.5
EDward Gaming,Pearl,0.3333333333333333
EDward Gaming,Split,0.7272727272727273
Evil Geniuses,Ascent,0.7058823529411765
Evil Geniuses,Bind,0.5
Evil Geniuses,Fracture,0.8461538461538461
Evil Geniuses,Haven,0.2857142857142857
Evil Geniuses,Icebox,0.0
Evil Geniuses,Lotus,0.45454545454545453
Evil Geniuses,Pearl,0.5833333333333334
Evil Geniuses,Split,0.35294117647058826
FNATIC,Ascent,0.6
FNATIC,Bind,0.7142857142857143
FNATIC,Fracture,0.7142857142857143
FNATIC,Haven,0.8461538461538461
FNATIC,Icebox,1.0
FNATIC,Lotus,0.8947368421052632
FNATIC,Split,0.8461538461538461
FURIA,Ascent,0.6
FURIA,Bind,0.2
FURIA,Fracture,0.0
FURIA,Haven,0.42857142857142855
FURIA,Icebox,0.6666666666666666
FURIA,Pearl,0.375
FURIA,Split,0.6
FUT Esports,Ascent,0.4444444444444444
FUT Esports,Bind,0.75
FUT Esports,Fracture,0.5
FUT Esports,Haven,0.5
FUT Esports,Icebox,0.25
FUT Esports,Lotus,0.6
FUT Esports,Pearl,0.7
FUT Esports,Split,0.1111111111111111
Four Angry Men,Ascent,1.0
Four Angry Men,Bind,0.5
Four Angry Men,Haven,0.3333333333333333
Four Angry Men,Lotus,0.6666666666666666
Four Angry Men,Pearl,0.6666666666666666
Four Angry Men,Split,0.0
FunPlus Phoenix,Ascent,0.6
FunPlus Phoenix,Bind,0.0
FunPlus Phoenix,Fracture,0.5
FunPlus Phoenix,Haven,1.0
FunPlus Phoenix,Lotus,0.6
FunPlus Phoenix,Pearl,0.5
FunPlus Phoenix,Split,0.0
Gank Gaming,Ascent,0.0
Gank Gaming,Bind,0.5
Gank Gaming,Haven,0.0
Gank Gaming,Lotus,1.0
Gank Gaming,Split,0.5
Gen.G,Ascent,0.47058823529411764
Gen.G,Fracture,0.2727272727272727
Gen.G,Haven,0.6923076923076923
Gen.G,Lotus,0.2857142857142857
Gen.G,Pearl,0.16666666666666666
Gen.G,Split,0.6666666666666666
Giants Gaming,Ascent,0.5714285714285714
Giants Gaming,Bind,0.5
Giants Gaming,Fracture,0.0
Giants Gaming,Haven,0.6
Giants Gaming,Icebox,0.5714285714285714
Giants Gaming,Lotus,0.75
Giants Gaming,Pearl,0.375
Giants Gaming,Split,0.5
Global Esports,Ascent,0.0
Global Esports,Fracture,0.0
Global Esports,Haven,0.25
Global Esports,Icebox,1.0
Global Esports,Lotus,0.4
Global Esports,Pearl,0.5714285714285714
Global Esports,Split,0.2
Invincible Gaming,Bind,1.0
Invincible Gaming,Fracture,0.0
Invincible Gaming,Lotus,0.3333333333333333
Invincible Gaming,Pearl,0.0
Invincible Gaming,Split,0.0
KOI,Ascent,0.42857142857142855
KOI,Bind,0.0
KOI,Fracture,0.4
KOI,Haven,0.25
KOI,Icebox,0.0
KOI,Lotus,0.2857142857142857
KOI,Pearl,0.25
KOI,Split,0.5
KRÜ Esports,Ascent,0.5454545454545454
KRÜ Esports,Bind,0.6666666666666666
KRÜ Esports,Fracture,0.0
KRÜ Esports,Haven,0.3333333333333333
KRÜ Esports,Lotus,0.375
KRÜ Esports,Pearl,0.2857142857142857
KRÜ Esports,Split,0.2222222222222222
Karmine Corp,Ascent,0.14285714285714285
Karmine Corp,Bind,1.0
Karmine Corp,Haven,0.2
Karmine Corp,Icebox,0.5
Karmine Corp,Lotus,0.42857142857142855
Karmine Corp,Pearl,0.25
Karmine Corp,Split,0.16666666666666666
Kingzone,Fracture,0.0
Kingzone,Lotus,0.0
Kingzone,Pearl,0.0
LEVIATÁN,Ascent,0.09090909090909091
LEVIATÁN,Bind,0.5
LEVIATÁN,Fracture,0.5
LEVIATÁN,Haven,0.42857142857142855
LEVIATÁN,Icebox,0.6666666666666666
LEVIATÁN,Lotus,0.2857142857142857
LEVIATÁN,Pearl,0.9166666666666666
LEVIATÁN,Split,0.5714285714285714
LOUD,Ascent,0.631578947368421
LOUD,Bind,0.6
LOUD,Fracture,0.5
LOUD,Haven,1.0
LOUD,Icebox,0.6666666666666666
LOUD,Lotus,0.42857142857142855
LOUD,Pearl,0.5
LOUD,Split,0.6875
MIBR,Ascent,0.0
MIBR,Bind,0.0
MIBR,Fracture,0.25
MIBR,Haven,0.0
MIBR,Icebox,0.5
MIBR,Lotus,0.5
MIBR,Pearl,0.16666666666666666
MIBR,Split,0.25
Monarch Effect,Ascent,1.0
Monarch Effect,Bind,1.0
Monarch Effect,Fracture,0.0
Monarch Effect,Haven,0.0
Monarch Effect,Lotus,0.25
Monarch Effect,Pearl,0.0
Monarch Effect,Split,0.5
NRG Esports,Ascent,0.375
NRG Esports,Bind,0.6
NRG Esports,Fracture,0.25
NRG Esports,Haven,0.8333333333333334
NRG Esports,Icebox,0.75
NRG Esports,Lotus,0.4444444444444444
NRG Esports,Pearl,0.6
NRG Esports,Split,0.5454545454545454
Natus Vincere,Ascent,0.6
Natus Vincere,Bind,0.3333333333333333
Natus Vincere,Fracture,0.75
Natus Vincere,Haven,0.0
Natus Vincere,Icebox,0.5
Natus Vincere,Lotus,0.38461538461538464
Natus Vincere,Pearl,0.9090909090909091
Natus Vincere,Split,0.5
Night Wings Gaming,Ascent,0.0
Night Wings Gaming,Bind,0.5
Night Wings Gaming,Haven,0.3333333333333333
Night Wings Gaming,Lotus,0.0
Night Wings Gaming,Pearl,1.0
Night Wings Gaming,Split,0.6666666666666666
Nova Esports,Ascent,1.0
Nova Esports,Bind,0.0
Nova Esports,Fracture,1.0
Nova Esports,Lotus,0.0
Nova Esports,Split,0.3333333333333333
Number One Player,Bind,0.0
Number One Player,Fracture,1.0
Number One Player,Lotus,0.25
Number One Player,Pearl,1.0
Number One Player,Split,0.0
Paper Rex,Ascent,0.4166666666666667
Paper Rex,Bind,0.7
Paper Rex,Fracture,0.6666666666666666
Paper Rex,Haven,1.0
Paper Rex,Icebox,0.0
Paper Rex,Lotus,0.6
Paper Rex,Pearl,0.7857142857142857
Paper Rex,Split,0.5833333333333334
Rare Atom,Ascent,0.0
Rare Atom,Bind,0.0
Rare Atom,Haven,0.0
Rare Atom,Lotus,0.6666666666666666
Rex Regum Qeon,Ascent,0.4
Rex Regum Qeon,Bind,0.0
Rex Regum Qeon,Fracture,0.3333333333333333
Rex Regum Qeon,Haven,0.7142857142857143
Rex Regum Qeon,Icebox,1.0
Rex Regum Qeon,Lotus,0.25
Rex Regum Qeon,Pearl,0.4
Rex Regum Qeon,Split,0.4
Royal Never Give Up,Ascent,0.5
Royal Never Give Up,Bind,0.75
Royal Never Give Up,Haven,0.5
Royal Never Give Up,Lotus,0.0
Royal Never Give Up,Split,0.5
Sentinels,Ascent,0.6666666666666666
Sentinels,Bind,1.0
Sentinels,Fracture,0.5
Sentinels,Haven,0.0
Sentinels,Icebox,0.0
Sentinels,Lotus,0.3333333333333333
Sentinels,Pearl,0.3333333333333333
Sentinels,Split,0.2857142857142857
Shenzhen NTER,Ascent,0.5
Shenzhen NTER,Fracture,0.5
Shenzhen NTER,Haven,0.0
Shenzhen NTER,Lotus,0.5
Shenzhen NTER,Pearl,0.0
Shenzhen NTER,Split,1.0
T1,Ascent,0.45454545454545453
T1,Bind,0.5
T1,Fracture,0.6923076923076923
T1,Haven,0.3333333333333333
T1,Icebox,0.0
T1,Lotus,0.75
T1,Pearl,0.18181818181818182
T1,Split,0.0
TYLOO,Ascent,0.5
TYLOO,Bind,0.8
TYLOO,Fracture,0.6666666666666666
TYLOO,Haven,0.0
TYLOO,Lotus,1.0
TYLOO,Pearl,0.5
TYLOO,Split,0.5
Talon Esports,Ascent,0.3333333333333333
Talon Esports,Bind,1.0
Talon Esports,Fracture,0.6666666666666666
Talon Esports,Haven,0.5
Talon Esports,Icebox,0.3333333333333333
Talon Esports,Lotus,1.0
Talon Esports,Pearl,0.6666666666666666
Talon Esports,Split,0.3333333333333333
Team Heretics,Ascent,0.0
Team Heretics,Fracture,0.0
Team Heretics,Haven,0.0
Team Heretics,Icebox,0.3333333333333333
Team Heretics,Lotus,0.6666666666666666
Team Heretics,Pearl,0.4
Team Heretics,Split,0.5
Team Liquid,Ascent,0.8
Team Liquid,Bind,0.5
Team Liquid,Fracture,0.5
Team Liquid,Haven,0.2857142857142857
Team Liquid,Icebox,0.5
Team Liquid,Lotus,0.3125
Team Liquid,Split,0.6666666666666666
Team Secret,Ascent,1.0
Team Secret,Bind,0.0
Team Secret,Fracture,0.3333333333333333
Team Secret,Haven,0.5
Team Secret,Icebox,0.25
Team Secret,Lotus,0.375
Team Secret,Pearl,0.5
Team Secret,Split,0.16666666666666666
Team Vitality,Ascent,0.25
Team Vitality,Bind,0.0
Team Vitality,Fracture,0.3333333333333333
Team Vitality,Haven,0.42857142857142855
Team Vitality,Lotus,0.6666666666666666
Team Vitality,Pearl,0.0
Team Vitality,Split,0.6666666666666666
Totoro Gaming,Ascent,1.0
Totoro Gaming,Haven,1.0
Totoro Gaming,Lotus,1.0
Totoro Gaming,Pearl,1.0
Totoro Gaming,Split,1.0
Trace Esports,Ascent,0.0
Trace Esports,Bind,1.0
Trace Esports,Haven,0.5
Trace Esports,Lotus,0.25
Trace Esports,Split,0.6666666666666666
Weibo Gaming,Ascent,0.0
Weibo Gaming,Bind,0.3333333333333333
Weibo Gaming,Fracture,0.5
Weibo Gaming,Haven,0.6
Weibo Gaming,Lotus,0.5
Weibo Gaming,Split,0.6666666666666666
ZETA DIVISION,Ascent,0.36363636363636365
ZETA DIVISION,Bind,0.3333333333333333
ZETA DIVISION,Fracture,0.6666666666666666
ZETA DIVISION,Haven,0.3
ZETA DIVISION,Lotus,0.8571428571428571
ZETA DIVISION,Pearl,0.0
ZETA DIVISION,Split,0.75
