team,avg_acs,avg_kills,avg_deaths,avg_assists,avg_kd_ratio,avg_adr,avg_kast,avg_hs_pct,avg_first_kills,avg_first_deaths,avg_rating
100 Thieves,194.91221784328673,26.263453772594513,27.403659984018304,12.66375486384622,0.9703814098176885,129.5091923316889,71.73218501428418,25.483656116168934,3.6801753198951594,3.9867478244628933,0.9903645661381539
Attacking Soul Esports,203.88576070394254,27.12848767394222,27.01474283292465,14.47947002492457,1.0675859494041313,125.63325563325564,71.96503496503497,23.989898989898993,0.937062937062937,0.8259518259518259,0.9673271173271174
BBL Esports,189.11333403438667,26.57039467709324,28.634778060854615,11.195894775081378,0.9648176878942428,125.09282798541172,71.36518397870073,30.18210190925502,3.7354899486478432,4.054284710504806,0.9499364136660787
Bilibili Gaming,199.96106777639284,24.31009207510756,24.123844370284,10.12796831651321,1.0596402503585167,126.00637958532695,71.63859649122807,24.313556618819778,1.5757575757575757,1.851993620414673,0.9753365231259968
Cloud9,207.99665945665805,24.713342806925695,22.674515048283695,11.67188082893121,1.1492388641734266,136.301034704004,75.92580129877835,24.149172338695276,3.6083873908247677,3.205516368371702,1.0982763968448601
DRX,202.83249061277792,25.222543971678302,23.703921339452062,12.814634074534696,1.1525990524388519,130.18676392962624,74.05358631440946,26.251995713893635,3.487523449113281,3.5067036381294114,1.0722069397472291
DetonatioN FocusMe,180.17830996164332,22.440375057041724,26.841339216339218,11.11864308530975,0.8307329121495789,118.82904626237959,68.99136634969967,27.932180011346677,3.2199020115686783,3.5960727544060878,0.870016597599931
Douyu Gaming,199.67457794730524,23.37394928304019,23.507966780694055,11.063885609340154,0.9915139406048498,128.1038557402194,70.95502477320659,23.860755406209954,3.336673427582518,3.1007578280305554,1.017040232494778
Dragon Ranger Gaming,199.2518838165897,25.534287228404875,26.21260756554874,12.090226360814595,0.9904934009639892,130.59468544174425,72.34975647916824,24.81556009791304,3.6425820778761957,3.512307265248442,0.9896274257450728
EDward Gaming,200.13369614668957,26.68508886946387,25.69352593270163,10.529393989008927,1.087357663485895,129.7946195267151,72.75059569107364,26.430264951551713,2.990337709675945,2.9210677476118656,0.9909181812468578
Evil Geniuses,207.73473958744322,27.04256636940394,25.873926949353983,12.92826912697202,1.16548906228721,136.41534534812266,74.63891975480797,23.78270335768601,3.7307030998194124,3.709934360129193,1.0805886613337237
FNATIC,211.26171127853752,25.819898349104918,20.735758814828582,11.810037431788459,1.3529653458716386,136.17903079592546,79.04651559870439,23.239603328727814,3.784213552065809,2.9293310808358686,1.18169100051795
FURIA,195.69316014804704,26.23153083467563,26.323783230344315,10.845688032430115,1.0393070012943315,128.22702160082252,72.2426279577637,26.1012610190212,3.698092641395809,3.720941637547972,1.0012757269879442
FUT Esports,199.94901190684885,23.193451336452082,23.033885618807435,10.263649170387815,1.0501504270942097,129.61167205219698,71.90116422420964,26.397215229959087,3.266710194744446,3.367276109346102,1.0156871608783373
Four Angry Men,198.3153576153576,27.82859392859393,27.023097623097623,10.710331110331111,1.0842066672066673,127.96174636174635,72.33648153648153,26.451638451638452,3.606286506286507,3.5633303633303637,1.0319846549846552
FunPlus Phoenix,191.9209721495436,25.526240954812383,27.644622044622047,10.491848891848893,0.9650037158608588,122.5936507936508,70.33650793650793,26.38095238095238,1.4222222222222223,2.8126984126984125,0.9516507936507937
Gank Gaming,200.21177415869928,26.98442175768379,26.15206881650732,11.248037415149714,1.053993243486559,130.32018446497057,73.51294135652425,23.146981400457335,3.882797673706765,3.698682907506437,1.0375070851113632
Gen.G,195.5409449445839,23.825232492731406,25.237530499524986,12.334913662914099,0.9889179360633078,126.61384912051635,71.70315065803649,23.351311109475535,3.4184285121966527,3.683860632119751,0.9886208415532319
Giants Gaming,203.43822255938625,28.156029115811723,27.042594951226665,12.000303421594982,1.1642779849448646,135.8472511622128,74.89524056506153,27.985451003481696,3.899212999276938,3.9135048762926,1.0788045008179281
Global Esports,196.52231839758576,26.72698552190531,27.60404530852392,13.117311854811856,1.0034801188116695,125.91008938328457,71.84420660296328,23.254171956979445,3.868076776165011,3.7601648796835963,1.0025096539675418
Invincible Gaming,197.55664335664335,21.227039627039627,22.477389277389275,7.173892773892774,1.0512027972027973,129.96270396270396,68.73939393939393,27.42750582750583,2.933333333333333,2.788811188811189,0.9381911421911422
KOI,182.39076034219812,23.61512804943565,25.917990098209966,11.291927288310507,0.9151340024412976,118.85214209085359,69.3682036076399,23.420939531030964,3.095526120052541,4.083070754320164,0.9251856966693903
KRÜ Esports,184.48042352479916,24.137620243915393,27.0513222587526,11.217764195060376,0.9013396825625928,121.4224059394338,69.350855542806,24.888472208905643,3.484730726216794,3.880599009597977,0.9160965827735693
Karmine Corp,178.89225290838195,24.428777673938963,26.47317950866338,9.710687162300065,0.8989342378052056,116.81912066428195,67.83693940468133,31.52591709365903,4.08311151214377,3.503355784000945,0.8882463772786353
Kingzone,159.50815850815852,14.214452214452214,21.83216783216783,6.41025641025641,0.6165967365967366,108.02331002331003,57.62004662004662,23.382284382284382,1.9836829836829837,3.016317016317016,0.6772494172494173
LEVIATÁN,200.2927911549235,28.677187926452632,26.40809239779828,13.345662670662671,1.164343047883489,130.11095840434075,73.89074556978969,24.12485418992772,4.22063679784268,3.611349598114304,1.072281236737119
LOUD,198.19397471163887,27.75366801366288,26.323849691120554,13.259020170246231,1.0903185559215827,130.00644358871105,74.80566217772956,23.874575348651955,3.9885755603265864,3.597342895932157,1.0440777048988403
MIBR,186.5663205621539,25.24298458742903,28.570528134417025,11.403500511833844,0.8795475327141994,123.23483142372031,68.31117473061919,26.242533135588694,3.5374225568670017,4.27326880937992,0.8959932983682983
Monarch Effect,209.64448717948716,31.85672161172161,30.374386446886444,13.827289377289379,1.0624593406593408,134.48083333333335,75.595,26.196666666666665,3.4191666666666665,3.7058333333333335,1.0358083333333332
NRG Esports,202.73869562009807,24.662028689467714,23.313361096897683,11.250371782688855,1.1127202279427888,132.50735734455247,75.49219327420548,22.59733636959247,3.7956112992698356,3.1501234537819904,1.0564975508908436
Natus Vincere,202.8396841730835,27.146184906931513,25.316480337577623,11.254061865317523,1.1878592248102995,134.60399596423352,74.72130399242955,31.917326535539207,3.9812217634050215,3.5451179999822533,1.0649038018082135
Night Wings Gaming,187.92833725988805,23.82883462348703,26.19188512022737,10.39523827331314,0.9044112286999987,121.7642596262917,67.19510115552896,30.46411627588098,3.264612392954639,3.8921705745235156,0.8992938932725029
Nova Esports,183.6450174825175,20.607167832167832,22.641478129713427,9.011003702180172,0.9395305601261483,119.544640408611,67.33089092280268,24.986750994103936,2.7720245440833673,3.1604895104895108,0.9339126045523104
Number One Player,188.397668997669,24.542937062937064,26.4803108003108,10.311328671328672,0.9273886557886558,125.68027972027971,71.56444444444445,26.52988344988345,2.9630458430458426,3.6923698523698523,0.9326865578865579
Paper Rex,201.1500987454602,23.65500263472018,22.28762310696344,10.641837503307173,1.1138432458439784,131.43832746304608,73.90975509424253,24.518001059183096,3.4210258096745045,3.052644203507051,1.0457746268738812
Rare Atom,182.61237373737376,25.202020202020204,29.535353535353536,11.045454545454547,0.823459595959596,122.61363636363637,65.17929292929293,28.220959595959595,3.4090909090909087,4.539141414141414,0.8793181818181819
Rex Regum Qeon,199.23026126172678,23.59154351395731,23.94839370399715,10.704195373591926,1.0464447528046665,129.4911815913971,72.58703623962245,27.45293535487501,3.3141134009668494,3.360593931930139,1.0003337933618106
Royal Never Give Up,193.15339366515838,23.673748262502585,23.98211930322657,11.404201046934611,0.9847979845030018,128.7921805222843,72.65352970750894,23.777416969804513,3.2063762458226126,3.089190548014077,1.0129337828645788
Sentinels,192.9376082842107,25.670514323404788,27.466474659552752,11.005300670424909,0.9345850076225329,128.47373483092295,69.27125279217064,26.406410463268983,3.4943139391034927,4.047644018422416,0.9386907966104213
Shenzhen NTER,202.5902097902098,23.26911736911737,22.102799902799905,11.574314874314874,1.2992678672678672,132.45166455166455,78.56895266895268,27.285176985176985,2.9484758484758484,2.870645570645571,1.0872249642249643
T1,193.0452292592318,23.64490773979265,23.51159711511374,10.155057043931725,1.00866890486136,125.1813054639781,71.80684724246105,24.72322546261165,3.38050553926513,3.386891759845724,0.9766310831585767
TYLOO,211.3459839930428,25.273640155993096,21.923226393814627,9.681260445966329,1.2322413816531463,136.94007582242875,75.39011862541274,26.65830989360401,2.4723547076488255,1.8627858627858627,1.0943622355387062
Talon Esports,199.9031741108354,24.024345502168085,25.013657041882848,10.116955848810687,0.9834577004536683,132.4357815123944,69.73405581873324,25.812213324310097,3.3507406571922704,3.62067010050881,0.9683313595007144
Team Heretics,180.9039338558055,22.13851687528158,26.294950058853804,9.804863674649772,0.8564322288673892,119.81686731272293,67.98031342543375,26.715456847074496,2.9024601067381814,3.8563386257236525,0.8762552222732705
Team Liquid,202.06467237999965,27.35812099619059,25.599570844786257,11.917974952875534,1.1493814583189064,130.19529541387453,71.8645194283761,28.93954930046479,3.8818521577842207,3.6453020030691947,1.0229049168175102
Team Secret,195.05684856587263,25.66306638128162,25.90340368929941,12.767181957723402,0.9990613319019068,127.00917733484579,71.32249444084337,23.531961324474693,3.7645702794432743,3.7186577225013053,1.0004046458344587
Team Vitality,191.55630460278863,24.333726299105937,25.607699934759903,11.324002847406643,0.9909664888126924,126.31173087649576,70.57190588866604,26.127638628986773,3.3179356893226606,3.754964130395537,0.9850173776467996
Totoro Gaming,227.03776223776222,26.922610722610724,22.40621600621601,13.541414141414142,1.3087599067599067,149.23636363636365,79.40963480963481,24.502253302253305,3.977156177156177,2.7566433566433566,1.1845501165501167
Trace Esports,201.86339869281048,26.155555555555555,25.910021786492376,11.680174291938997,1.0610599128540306,127.0,73.0,25.0,0.0,0.0,1.0
Weibo Gaming,213.85839258780433,25.46589684824979,23.047853780206722,10.025366463601758,1.1566354234001293,137.9290679908327,74.5124493153905,24.982232473408946,3.1844603109308993,2.3003731562555094,1.1005959334782864
ZETA DIVISION,186.7368059918432,27.250496698614146,28.83201990453813,13.085787273580642,0.9394175377190582,121.12063823079502,71.22166793183847,25.3515066686756,3.6725716920151656,4.125814495046993,0.9200616170756238
